sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-RH,AirBeam2:00189610714D,Humidity,percent
Timestamp,geo:lat,geo:long,Value
2018-03-31T12:33:14.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:15.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:16.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:18.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:18.000+0100,-0.0093592,51.4915386,80
2018-03-31T12:33:19.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:20.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:21.000+0100,-0.0093592,51.4915386,80
2018-03-31T12:33:22.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:24.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:25.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:26.000+0100,-0.0093592,51.4915386,80
2018-03-31T12:33:26.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:28.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:29.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:29.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:31.000+0100,-0.0093592,51.4915386,80
2018-03-31T12:33:31.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:32.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:33.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:34.000+0100,-0.0093592,51.4915386,80
2018-03-31T12:33:35.000+0100,-0.0093592,51.4915386,79
2018-03-31T12:33:36.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:38.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:38.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:39.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:40.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:41.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:43.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:43.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:44.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:45.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:47.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:48.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:49.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:49.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:50.000+0100,-0.0093512,51.4915347,79
2018-03-31T12:33:52.000+0100,-0.0093512,51.4915347,78
2018-03-31T12:33:53.000+0100,-0.0093512,51.4915347,78
2018-03-31T12:33:53.000+0100,-0.0093512,51.4915347,78
2018-03-31T12:33:54.000+0100,-0.0082053,51.4907276,79
2018-03-31T12:33:55.000+0100,-0.0082053,51.4907276,79
2018-03-31T12:33:56.000+0100,-0.0082053,51.4907276,79
2018-03-31T12:33:57.000+0100,-0.0082053,51.4907276,79
2018-03-31T12:33:58.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:33:59.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:34:01.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:34:02.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:34:02.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:34:03.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:34:04.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:34:05.000+0100,-0.0082053,51.4907276,78
2018-03-31T12:41:40.000+0100,-0.0091183,51.4916614,68
2018-03-31T12:41:41.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:43.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:44.000+0100,-0.0091077,51.4917053,67
2018-03-31T12:41:45.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:46.000+0100,-0.0091077,51.4917053,67
2018-03-31T12:41:47.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:48.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:49.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:50.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:51.000+0100,-0.0091077,51.4917053,67
2018-03-31T12:41:52.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:53.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:54.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:54.000+0100,-0.0091077,51.4917053,67
2018-03-31T12:41:56.000+0100,-0.0091077,51.4917053,67
2018-03-31T12:41:57.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:58.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:41:58.000+0100,-0.0091077,51.4917053,67
2018-03-31T12:42:00.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:42:00.000+0100,-0.0091077,51.4917053,67
2018-03-31T12:42:01.000+0100,-0.0091077,51.4917053,68
2018-03-31T12:42:02.000+0100,-0.0092108,51.4916703,67
2018-03-31T12:42:04.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:06.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:07.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:07.000+0100,-0.0092108,51.4916703,67
2018-03-31T12:42:08.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:09.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:10.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:11.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:12.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:13.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:14.000+0100,-0.0092108,51.4916703,67
2018-03-31T12:42:15.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:16.000+0100,-0.0092108,51.4916703,67
2018-03-31T12:42:17.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:18.000+0100,-0.0092108,51.4916703,67
2018-03-31T12:42:19.000+0100,-0.0092108,51.4916703,67
2018-03-31T12:42:20.000+0100,-0.0092108,51.4916703,68
2018-03-31T12:42:21.000+0100,-0.0092108,51.4916703,67
2018-03-31T12:42:22.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:23.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:24.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:42:25.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:42:26.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:27.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:42:28.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:29.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:31.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:31.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:32.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:33.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:34.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:35.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:36.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:42:37.000+0100,-0.0091955,51.4916637,67
2018-03-31T12:42:38.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:42:39.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:42:40.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:42:41.000+0100,-0.0091955,51.4916637,68
2018-03-31T12:44:53.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:44:54.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:44:55.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:44:56.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:44:57.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:44:58.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:44:59.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:00.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:01.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:03.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:04.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:05.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:06.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:07.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:08.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:09.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:10.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:11.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:12.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:13.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:13.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:15.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:16.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:17.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:18.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:18.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:20.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:21.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:22.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:23.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:24.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:25.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:26.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:27.000+0100,-0.0842584,51.5233188,69
2018-03-31T12:45:28.000+0100,-0.0842584,51.5233188,68
2018-03-31T12:45:29.000+0100,-0.0842584,51.5233188,68
