device id,location,workshop id,gesture,lon,lat,timestamp
5,1,3,5,-0.0091066,51.4915343,11:39:08
4,1,3,4,-0.0091088,51.4915182,11:38:13
17,1,3,5,-0.0119029,51.4872523,11:39:03
12,1,3,4,-0.0091192,51.4915072,11:38:49
19,1,3,4,-0.0092109,51.4915372,11:39:09
15,1,3,5,-0.0091522,51.4915151,11:39:08
20,1,3,2,-0.0091692,51.4915846,11:38:21
8,1,3,5,-0.00916148,51.49156463,11:39:00
6,1,3,4,-0.0091709,51.4914084,11:38:45
11,1,3,4,-0.0091247,51.4913926,11:39:01
9,1,3,5,-0.00914475,51.49153532,11:38:49
18,1,3,5,-0.0090741,51.4914798,11:39:06
13,1,3,4,-0.0089674,51.4914605,11:38:56
2,1,3,5,-0.0091172,51.4915162,11:39:02
14,1,3,5,-0.0093197,51.4914473,11:39:04
10,1,3,4,-0.0091265,51.4914539,11:39:10
3,1,3,3,#N/A,#N/A,#N/A
1,1,3,3,#N/A,#N/A,#N/A
5,2,3,3,#N/A,#N/A,#N/A
4,2,3,3,#N/A,#N/A,#N/A
17,2,3,3,#N/A,#N/A,#N/A
12,2,3,3,#N/A,#N/A,#N/A
19,2,3,2,-0.0078998,51.4920585,11:45:33
15,2,3,4,-0.0092826,51.4917426,11:45:47
20,2,3,3,#N/A,#N/A,#N/A
8,2,3,2,-0.00916148,51.49154142,11:45:33
6,2,3,2,-0.007952,51.4920164,11:45:30
11,2,3,2,-0.0077224,51.4919027,11:45:42
9,2,3,3,#N/A,#N/A,#N/A
18,2,3,3,#N/A,#N/A,#N/A
13,2,3,3,#N/A,#N/A,#N/A
2,2,3,5,-0.0078082,51.4919749,11:45:49
14,2,3,3,#N/A,#N/A,#N/A
10,2,3,2,-0.0078094,51.4919574,11:45:33
3,2,3,2,-0.0077674,51.4919854,11:45:08
1,2,3,2,-0.0079323,51.4920095,11:45:36
5,3,3,3,#N/A,#N/A,#N/A
4,3,3,3,#N/A,#N/A,#N/A
17,3,3,3,#N/A,#N/A,#N/A
12,3,3,3,#N/A,#N/A,#N/A
19,3,3,3,#N/A,#N/A,#N/A
15,3,3,4,-0.0073955,51.4917272,11:52:31
20,3,3,3,#N/A,#N/A,#N/A
8,3,3,3,#N/A,#N/A,#N/A
6,3,3,5,-0.0076402,51.4936368,11:52:47
11,3,3,3,#N/A,#N/A,#N/A
9,3,3,3,#N/A,#N/A,#N/A
18,3,3,3,#N/A,#N/A,#N/A
13,3,3,3,#N/A,#N/A,#N/A
2,3,3,3,#N/A,#N/A,#N/A
14,3,3,3,#N/A,#N/A,#N/A
10,3,3,3,#N/A,#N/A,#N/A
3,3,3,3,#N/A,#N/A,#N/A
1,3,3,3,#N/A,#N/A,#N/A
5,4,3,2,-0.0055056,51.4946076,11:58:15
4,4,3,3,#N/A,#N/A,#N/A
17,4,3,3,#N/A,#N/A,#N/A
12,4,3,2,-0.0054803,51.4945595,11:58:13
19,4,3,2,-0.0055134,51.494583,11:58:27
15,4,3,2,-0.0065908,51.4941079,11:58:19
20,4,3,2,-0.0054988,51.494573,11:58:15
8,4,3,2,-0.0078662,51.4937997,11:58:19
6,4,3,3,#N/A,#N/A,#N/A
11,4,3,4,-0.0055137,51.494663,11:58:27
9,4,3,3,#N/A,#N/A,#N/A
18,4,3,3,#N/A,#N/A,#N/A
13,4,3,3,#N/A,#N/A,#N/A
2,4,3,2,-0.0055138,51.4946322,11:58:18
14,4,3,2,-0.0093197,51.4914473,11:58:21
10,4,3,2,-0.0054681,51.4946466,11:58:18
3,4,3,4,-0.0074597,51.4938071,11:58:17
1,4,3,2,-0.0076292,51.4936718,11:58:19
5,5,3,1,-0.0041271,51.4936212,12:03:53
4,5,3,2,-0.004244,51.4936869,12:04:05
17,5,3,5,-0.0100745,51.4954627,12:03:51
12,5,3,2,-0.0041452,51.4936423,12:03:51
19,5,3,2,-0.0041653,51.4936283,12:03:54
15,5,3,3,#N/A,#N/A,#N/A
20,5,3,2,-0.0048511,51.4943532,12:03:48
8,5,3,2,-0.00428625,51.49366913,12:03:52
6,5,3,3,#N/A,#N/A,#N/A
11,5,3,4,-0.0041638,51.4936211,12:03:58
9,5,3,3,#N/A,#N/A,#N/A
18,5,3,3,#N/A,#N/A,#N/A
13,5,3,3,#N/A,#N/A,#N/A
2,5,3,4,-0.0041094,51.493591,12:04:01
14,5,3,3,#N/A,#N/A,#N/A
10,5,3,1,-0.0042914,51.4936926,12:03:54
3,5,3,3,#N/A,#N/A,#N/A
1,5,3,2,-0.0076292,51.4936718,12:03:52
5,6,3,5,-0.0043693,51.4931485,12:08:02
4,6,3,3,#N/A,#N/A,#N/A
17,6,3,5,-0.0100745,51.4954627,12:07:50
12,6,3,4,-0.0043728,51.4931186,12:07:53
19,6,3,5,-0.0043968,51.4930908,12:07:57
15,6,3,3,#N/A,#N/A,#N/A
20,6,3,4,-0.0042517,51.4934934,12:07:51
8,6,3,5,-0.00445614,51.4930883,12:07:51
6,6,3,3,#N/A,#N/A,#N/A
11,6,3,5,-0.0043552,51.4931404,12:08:03
9,6,3,3,#N/A,#N/A,#N/A
18,6,3,3,#N/A,#N/A,#N/A
13,6,3,3,#N/A,#N/A,#N/A
2,6,3,5,-0.0044628,51.4930377,12:07:55
14,6,3,4,-0.0093197,51.4914473,12:07:58
10,6,3,4,-0.0043198,51.493189,12:07:58
3,6,3,5,-0.0074597,51.4938071,12:07:54
1,6,3,4,-0.0076292,51.4936718,12:08:02
