device id,location,workshop id,gesture,lon,lat,timestamp
5,1,6,5,-0.0714711,51.5130098,09:17:19
19,1,6,2,-0.0714173,51.5130966,09:17:12
21,1,6,2,-0.07142072,51.51316619,09:17:14
10,1,6,2,-0.0714081,51.5130889,09:17:14
11,1,6,2,-0.0713539,51.5131599,09:17:15
22,1,6,2,-0.0714389,51.5130272,09:17:15
15,1,6,4,-0.0714739,51.5131158,09:17:16
16,1,6,2,-0.0714548,51.5130614,09:17:16
23,1,6,2,-0.071362,51.5131101,09:17:17
2,1,6,2,-0.0714514,51.5130307,09:17:19
1,1,6,2,-0.0714017,51.5131068,09:17:21
3,1,6,4,-0.071424,51.5130843,09:17:24
6,1,6,5,-0.0714254,51.5130958,09:17:27
17,1,6,3,#N/A,#N/A,#N/A
7,1,6,3,#N/A,#N/A,#N/A
13,1,6,3,#N/A,#N/A,#N/A
24,1,6,3,#N/A,#N/A,#N/A
4,1,6,3,#N/A,#N/A,#N/A
5,2,6,3,#N/A,#N/A,#N/A
19,2,6,1,-0.0724389,51.5128738,09:20:48
21,2,6,4,-0.07250703,51.5129136,09:20:44
10,2,6,2,-0.0724546,51.5129346,09:20:38
11,2,6,4,-0.072445,51.5129061,09:20:38
22,2,6,3,#N/A,#N/A,#N/A
15,2,6,4,-0.0725704,51.5129452,09:20:36
16,2,6,4,-0.0725123,51.5127753,09:20:57
23,2,6,4,-0.0714356,51.5130697,09:20:30
2,2,6,3,#N/A,#N/A,#N/A
1,2,6,4,-0.0724676,51.512825,09:20:43
3,2,6,4,-0.0724629,51.512866,09:20:49
6,2,6,2,-0.0724715,51.512861,09:20:37
17,2,6,4,-0.0725981,51.5128822,09:20:36
7,2,6,4,-0.07250168,51.51292271,09:20:57
13,2,6,4,-0.0725619,51.5128581,09:20:37
24,2,6,2,-0.0725774,51.5128134,09:20:37
4,2,6,3,#N/A,#N/A,#N/A
5,3,6,3,#N/A,#N/A,#N/A
19,3,6,3,#N/A,#N/A,#N/A
